text,created_at,source,id,author_id,,,,
Yayyy https://t.co/jDctIFyDUr,2021-09-01T05:37:07.000Z,Twitter for Android,1.43294E+18,1100860344,,,,
"@GrabMY hi, i have request for a refund on 20th July and submitted all docs required but it has been more than 30 days now and i haven't received any updates yet from your side via email as well as the refund. please respond. thank you.",2021-09-01T05:31:47.000Z,Twitter for Android,1.43294E+18,280338300,,,,
"RT @Najib_Ayub: Thank you @GrabMY for the voucher. Alhamdulillah, kita mudahkan kerja orang, rezeki lain yang datang. 😊 So guys be nice to…",2021-09-01T05:18:32.000Z,Twitter for Android,1.43294E+18,834988248,,,,
"@Najib_Ayub @GrabMY Seksyen 14, PJ hahaha",2021-09-01T05:18:26.000Z,Twitter for Android,1.43294E+18,834988248,,,,
"@GrabMY Thank you for informing me, so I can be assured that from your side, you wouldn't charge me since I'm not using it as a primary payment right?",2021-09-01T04:40:22.000Z,Twitter for Android,1.43293E+18,1.15109E+18,,,,
"@GrabMY Hi,i am a very frequent GrabFood user.i will order my food almost everyday using grabfood. Recently, i got a few riders deliver my food without wearing a mask.. for all Grab user's safety purpose, please make stricts requirment for your riders to wear a mask all the time.",2021-09-01T04:34:07.000Z,Twitter for Android,1.43292E+18,738697466,,,,
"Hello @GrabMY, how do i terminate my newly activated paylater option? Thank you😚",2021-09-01T04:31:17.000Z,Twitter for Android,1.43292E+18,1.15109E+18,,,,
@_syarool @GrabMY Admin grab ada vacancy tak? Nak apply,2021-09-01T04:26:40.000Z,Twitter for Android,1.43292E+18,2362606476,,,,
@ArdyShamir @GrabMY jangan sampai @ArdyShamir marah,2021-09-01T04:23:58.000Z,Twitter for iPhone,1.43292E+18,207941369,,,,
"RT @GrabMY: Congratulations winners! DM us your phone number and collect your promo code 😍
@rajananddjgn
@iykinn
@ilhuum
@AwDeeAi
@marissat…",2021-09-01T04:22:28.000Z,Twitter for iPhone,1.43292E+18,1.40845E+18,,,,
"@marissat…""",2021-09-01T04:21:22.000Z,Twitter for iPhone,1.43292E+18,1629333146,,,,
https://t.co/7zU8f1R8Ai https://t.co/RYVyWTDyOt,2021-09-01T04:19:58.000Z,Twitter Web App,1.43292E+18,1492134199,,,,
"@GrabMY Kalau saya diminta turun untuk mengambilnya sendiri saya akan bagi bad reviews. 

Thank you for your concern.",2021-09-01T04:12:30.000Z,Twitter for iPhone,1.43292E+18,1030165813,,,,
"Good start, September! Sis menang! 🥳 https://t.co/BXLmzMHrf6",2021-09-01T04:11:29.000Z,Twitter for iPhone,1.43292E+18,625820811,,,,
"@GrabMY Hello, i dah DM ya, please check",2021-09-01T04:10:25.000Z,Twitter for iPhone,1.43292E+18,595549066,,,,
"Congratulations winners! DM us your phone number and collect your promo code 😍
@marissatlc
@MonFaiz91
@Ohnananananaf
@hazazaharun
@shaunweng01
@zhenster63
@HepiBird https://t.co/wR3Y2iVnK6",2021-09-01T04:08:22.000Z,Twitter Web App,1.43292E+18,454609037,,,,
@GrabMY ok,2021-09-01T04:01:36.000Z,Twitter for iPhone,1.43292E+18,595549066,,,,
"Hello @GrabMY, I dah pilih grab express instant  tapi dah 30minit runner masih belum sampai utk jarak kurang dari 2km. Lebih baik i pilih 4 hours which is more cheaper.😡",2021-09-01T03:56:35.000Z,Twitter for iPhone,1.43292E+18,595549066,,,,
"Eeeee aku kan geram betul kalau order grab food, yang tolong pick up tu bawak kereta. Aku order sebab aku malas nak turun, tapi ni jap lagi confirm kene turun sebab sini car park berbayar. Dah tahu bawak kereta pickup orang jela takyah pickup makanan. Please la @GrabMY",2021-09-01T03:49:33.000Z,Twitter for iPhone,1.43291E+18,1030165813,,,,
@GrabMY macam tahu ada kad kredit @hsbc_my. https://t.co/EckLmo1T4k,2021-09-01T03:29:13.000Z,Twitter for Android,1.43291E+18,3247784660,,,,
"@GrabMY Good morning, I need to talk with your customer service regarding some issues. I need your clarification on this matter. Thanks",2021-09-01T02:35:24.000Z,Twitter for iPhone,1.43289E+18,49962260,,,,
